raceId,driverId,constructorId,statusId,circuitId,date,driverRef,number,code,constructorRef,circuitRef,lap,position_x,time,position_y,status,position
1126,846,1,1,79,2024-05-05,norris,4,NOR,mclaren,miami,46,1,0 days 00:01:31.352000,5,Finished,1
1126,846,1,1,79,2024-05-05,norris,4,NOR,mclaren,miami,47,1,0 days 00:01:31.423000,5,Finished,1
1126,846,1,1,79,2024-05-05,norris,4,NOR,mclaren,miami,48,1,0 days 00:01:31.135000,5,Finished,1
1126,846,1,1,79,2024-05-05,norris,4,NOR,mclaren,miami,49,1,0 days 00:01:31.177000,5,Finished,1
1126,846,1,1,79,2024-05-05,norris,4,NOR,mclaren,miami,50,1,0 days 00:01:31.227000,5,Finished,1
1126,846,1,1,79,2024-05-05,norris,4,NOR,mclaren,miami,51,1,0 days 00:01:31.080000,5,Finished,1
1126,846,1,1,79,2024-05-05,norris,4,NOR,mclaren,miami,52,1,0 days 00:01:31.244000,5,Finished,1
1126,846,1,1,79,2024-05-05,norris,4,NOR,mclaren,miami,53,1,0 days 00:01:31.251000,5,Finished,1
1126,846,1,1,79,2024-05-05,norris,4,NOR,mclaren,miami,54,1,0 days 00:01:31.276000,5,Finished,1
1126,846,1,1,79,2024-05-05,norris,4,NOR,mclaren,miami,55,1,0 days 00:01:30.980000,5,Finished,1
1126,846,1,1,79,2024-05-05,norris,4,NOR,mclaren,miami,56,1,0 days 00:01:31.040000,5,Finished,1
1126,846,1,1,79,2024-05-05,norris,4,NOR,mclaren,miami,57,1,0 days 00:01:31.575000,5,Finished,1
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,1,3,0 days 00:01:36.848000,6,Finished,3
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,2,3,0 days 00:01:32.827000,6,Finished,3
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,3,3,0 days 00:01:33.063000,6,Finished,3
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,4,2,0 days 00:01:33.119000,6,Finished,2
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,5,2,0 days 00:01:33.321000,6,Finished,2
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,6,2,0 days 00:01:32.878000,6,Finished,2
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,7,2,0 days 00:01:33.355000,6,Finished,2
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,8,2,0 days 00:01:33.067000,6,Finished,2
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,9,2,0 days 00:01:33.092000,6,Finished,2
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,10,2,0 days 00:01:33.592000,6,Finished,2
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,11,2,0 days 00:01:33.262000,6,Finished,2
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,12,2,0 days 00:01:33.083000,6,Finished,2
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,13,2,0 days 00:01:33.162000,6,Finished,2
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,14,2,0 days 00:01:33.183000,6,Finished,2
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,15,2,0 days 00:01:32.767000,6,Finished,2
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,16,2,0 days 00:01:32.785000,6,Finished,2
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,17,2,0 days 00:01:33.084000,6,Finished,2
